cycle,timestamp,state,x,y,speed,heading,FL,FR,BL,BR,hazard_score,ttc,collision,total_collisions
56,5.626929521560669,CRUISE,19.5,10.0,3.5,0.0,9.964024259462288,9.277248579147761,9.881829760156123,4.453261957169042,0.0,2.6506424511850746,0,0
57,5.727073907852173,CRUISE,19.5,10.0,3.5,0.0,10.0,9.22962642099132,9.238032974520229,4.436919916193096,0.0,2.637036120283234,0,0
58,5.827667951583862,CRUISE,19.5,10.0,3.5,0.0,9.762797942649208,9.92506977640899,9.57869715671347,4.4518411114004675,0.0,2.7893708407569164,0,0
59,5.927776098251343,CRUISE,19.5,10.0,3.5,0.0,10.0,9.40361528672714,9.246196064668558,4.504320698125227,0.0,2.686747224779183,0,0
60,6.0282440185546875,CRUISE,19.5,10.0,3.5,0.0,10.0,9.889100752795997,9.737937248834404,4.407677901045083,0.0,2.8254573579417133,0,0
61,6.129071950912476,CRUISE,19.5,10.0,3.5,0.0,9.749590799615108,9.614340351055384,9.808243925181587,4.197331175644512,0.0,2.746954386015824,0,0
62,6.22882866859436,CRUISE,19.5,10.0,3.5,0.0,8.966551985969492,9.421836739300929,9.22823554608529,4.505875480246412,0.0,2.5618719959912832,0,0
63,6.329192876815796,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,8.633479805569149,4.573037727540593,0.0,2.857142857142857,0,0
64,6.429752588272095,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,8.880844611512481,4.300221838766696,0.0,2.857142857142857,0,0
65,6.529962539672852,CRUISE,19.5,10.0,3.5,0.0,10.0,9.667565754130507,10.0,4.923815528443306,0.0,2.762161644037288,0,0
66,6.630796670913696,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,8.733221455210089,4.131110815767366,0.0,2.857142857142857,0,0
67,6.731826305389404,CRUISE,19.5,10.0,3.5,0.0,9.27261459255429,10.0,9.321237171436772,4.484423869261105,0.0,2.6493184550155116,0,0
68,6.832333087921143,CRUISE,19.5,10.0,3.5,0.0,10.0,9.89386125556228,10.0,4.789941619609859,0.0,2.8268175015892227,0,0
69,6.933186054229736,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.60203301782357,4.6343475794983915,0.0,2.857142857142857,0,0
70,7.033565044403076,CRUISE,19.5,10.0,3.5,0.0,10.0,9.97339873286035,9.726292216149261,4.794440602898784,0.0,2.849542495102957,0,0
71,7.134060621261597,CRUISE,19.5,10.0,3.5,0.0,9.857343550827583,9.994901695154459,10.0,4.559029105408427,0.0,2.816383871665024,0,0
72,7.234221458435059,CRUISE,19.5,10.0,3.5,0.0,9.707037301075108,10.0,9.511018695865697,4.363626986120994,0.0,2.773439228878602,0,0
73,7.33455228805542,CRUISE,19.5,10.0,3.5,0.0,10.0,9.445967069608962,9.102690060190007,4.8131787382898885,0.0,2.698847734173989,0,0
74,7.434973239898682,CRUISE,19.5,10.0,3.5,0.0,10.0,9.371641557730293,9.699135658320783,4.5960950075786595,0.0,2.6776118736372263,0,0
75,7.535456895828247,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.108322886947548,4.658139583270368,0.0,2.857142857142857,0,0
76,7.635740756988525,CRUISE,19.5,10.0,3.5,0.0,9.672640559612747,10.0,10.0,4.267565940114674,0.0,2.7636115884607846,0,0
77,7.735968351364136,CRUISE,19.5,10.0,3.5,0.0,10.0,10.0,9.243115531674782,4.611772695364257,0.0,2.857142857142857,0,0
78,7.836255073547363,CRUISE,19.5,10.0,3.5,0.0,9.559295189687314,10.0,9.610221257931729,4.739371561213036,0.0,2.731227197053518,0,0
79,7.936479806900024,CRUISE,19.5,10.0,3.5,0.0,10.0,9.47420997761985,8.78874334086793,4.5754353604715,0.0,2.706917136462814,0,0
80,8.039350748062134,CRUISE,19.5,10.0,3.5,0.0,9.93647785194647,10.0,8.614815836616467,4.687987396186576,0.0,2.838993671984706,0,0
81,8.13965916633606,CRUISE,19.5,10.0,3.5,0.0,9.374063682419017,10.0,8.90753924512903,4.6061338708673585,0.0,2.6783039092625764,0,0
82,8.24015212059021,CRUISE,19.5,10.0,3.5,0.0,10.0,9.262907847637612,9.475402425728618,4.5483783606366766,0.0,2.646545099325032,0,0
83,8.34039044380188,CRUISE,19.5,10.0,3.5,0.0,10.0,9.343890064804084,8.822578074383241,4.418211450471415,0.0,2.6696828756583098,0,0
